epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.49986615777015686,0.0010000000474974513,1.4499298334121704,0.11948376148939133,2.2643096446990967
1,0.6895689964294434,0.0010000000474974513,0.8963468670845032,0.09908409416675568,3.990699052810669
2,0.7625591158866882,0.0010000000474974513,0.6959705948829651,0.18026643991470337,3.818789482116699
3,0.7924511432647705,0.0010000000474974513,0.5832080245018005,0.5457951426506042,2.174166440963745
4,0.807441771030426,0.0010000000474974513,0.5406782627105713,0.7718567848205566,0.6141953468322754
5,0.843579888343811,0.0010000000474974513,0.45461520552635193,0.674437940120697,1.1866496801376343
6,0.8484875559806824,0.0010000000474974513,0.42974165081977844,0.8580349683761597,0.4233872592449188
7,0.8699919581413269,0.0010000000474974513,0.3742084205150604,0.830141544342041,0.520952582359314
8,0.8680289387702942,0.0010000000474974513,0.37980735301971436,0.8368026614189148,0.47522902488708496
9,0.8844472169876099,0.0010000000474974513,0.3378807306289673,0.6407160758972168,1.4483094215393066
10,0.8935486674308777,0.0010000000474974513,0.3029344379901886,0.82805997133255,0.49737298488616943
11,0.8978317379951477,0.0010000000474974513,0.29112303256988525,0.9046627879142761,0.30588409304618835
12,0.9057731628417969,0.0010000000474974513,0.27468281984329224,0.8168193101882935,0.6063194274902344
13,0.9103239178657532,0.0010000000474974513,0.2549203932285309,0.7710241675376892,0.7751374840736389
14,0.9115731120109558,0.0010000000474974513,0.2576696574687958,0.8068276643753052,0.6031103134155273
15,0.9202284216880798,0.0010000000474974513,0.22959409654140472,0.8617818355560303,0.398477166891098
16,0.9159454107284546,0.0010000000474974513,0.24831123650074005,0.8176519274711609,0.58546817302703817,017,0.9334344863891602,0.0005000000237487257,0.1931934356689453,0.8705245852470398,0.390549391508102418,0.9508342742919922,0.0005000000237487257,0.13810871541500092,0.7493755221366882,1.5555312633514404
19,0.9539573192596436,0.0005000000237487257,0.13384364545345306,0.8497085571289062,0.5006116032600403
20,0.9520835280418396,0.0005000000237487257,0.13939401507377625,0.8172356486320496,1.1908921003341675
21,0.9602926969528198,0.0002500000118743628,0.11487782746553421,0.9025811553001404,0.4099217355251312
22,0.9611849784851074,0.0002500000118743628,0.10766167938709259,0.7731057405471802,1.3495787382125854
23,0.9666280150413513,0.0002500000118743628,0.10633213073015213,0.8955037593841553,0.44840484857559204
24,0.9667172431945801,0.0002500000118743628,0.09859020262956619,0.7926727533340454,1.4120146036148071
25,0.9661818742752075,0.0002500000118743628,0.10263347625732422,0.9025811553001404,0.327690988779068
26,0.9666280150413513,0.0002500000118743628,0.10018591582775116,0.8230640888214111,1.1259288787841797
27,0.9704648852348328,0.0002500000118743628,0.09493914991617203,0.8197335600852966,1.0864369869232178
28,0.9653787612915039,0.0002500000118743628,0.10123738646507263,0.8959200382232666,0.39950031042099
29,0.966360330581665,0.0002500000118743628,0.09777829051017761,0.861365556716919,0.7230846285820007
30,0.9698402881622314,0.0002500000118743628,0.09147258847951889,0.8726061582565308,0.6167994141578674
31,0.9732310175895691,0.0001250000059371814,0.08026425540447235,0.8834304809570312,0.43799179792404175
32,0.9729633331298828,0.0001250000059371814,0.07881095260381699,0.9146544337272644,0.31519556045532227
33,0.9704648852348328,0.0001250000059371814,0.07971378415822983,0.8796836137771606,0.42224761843681335
34,0.9743017554283142,0.0001250000059371814,0.07817063480615616,0.9121565222740173,0.32735225558280945
35,0.974390983581543,0.0001250000059371814,0.07412103563547134,0.8380516171455383,1.0077874660491943
36,0.9727848768234253,0.0001250000059371814,0.08178217709064484,0.863863468170166,0.7024983167648315
37,0.9745694398880005,0.0001250000059371814,0.07416590303182602,0.899666965007782,0.44982606172561646
38,0.9776032567024231,6.25000029685907e-05,0.06722553074359894,0.890091598033905,0.5205291509628296
39,0.9748371839523315,6.25000029685907e-05,0.07243473082780838,0.8763530254364014,0.6998513340950012
40,0.979030966758728,6.25000029685907e-05,0.06552773714065552,0.8813488483428955,0.603764533996582
41,0.9759079217910767,6.25000029685907e-05,0.07116915285587311,0.8838468194007874,0.5900897979736328
42,0.9759079217910767,6.25000029685907e-05,0.06920452415943146,0.9113239049911499,0.33147698640823364
03412
43,0.9654679894447327,6.25000029685907e-05,0.10229397565126419,0.9558700919151306,0.1429261416196823
44,0.9644864797592163,6.25000029685907e-05,0.10090094059705734,0.9587843418121338,0.12069505453109741
45,0.9653787612915039,6.25000029685907e-05,0.09813696146011353,0.9675270318984985,0.10935023427009583
46,0.9646649360656738,6.25000029685907e-05,0.09950626641511917,0.9583680033683777,0.12564429640769958
47,0.9659141898155212,6.25000029685907e-05,0.09906411916017532,0.9525395631790161,0.13957950472831726
48,0.9677879810333252,6.25000029685907e-05,0.09369906783103943,0.9633638858795166,0.11505589634180069
49,0.9689480066299438,6.25000029685907e-05,0.09418347477912903,0.9546211361885071,0.1351531744003296
